,question,CHAPTER,CLASS,CUSTOM,TOPIC,SUBJECT,BLOOM_TAXONOMY,CURRICULUM
62478,<p>D) Choose the correct option.<br>Having a powerful desire for success or achievement:</p>,Vocabulary,5,NCERT,,English,Remebering,CBSE
85511,"<ol><li>In the given figure, a square is inscribed in a circle with centre&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow></math>. Find:<br>(i)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">∠</mi>&nbsp;<mrow><mi mathvariant=""normal"">B</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;</mrow></math><br>(ii)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">∠</mi>&nbsp;<mrow><mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">B</mi>&nbsp;</mrow></math><br>(iii)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">∠</mi>&nbsp;<mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">D</mi>&nbsp;</mrow></math><br>(iv)&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">∠</mi>&nbsp;<mrow><mi mathvariant=""normal"">B</mi>&nbsp;<mi mathvariant=""normal"">O</mi>&nbsp;<mi mathvariant=""normal"">D</mi>&nbsp;</mrow></math><br>Is BD a diameter of the circle?</li></ol>",Circles,9,selenia,,Mathematics,Remebering,ICSE
52122,"<p>Find if the given statements are correct or incorrect, then choose the correct option.<br>A. We use question tags at the end of a sentence to ask if what we said is false or not, or if the other person disagrees or not.<br>B. If we say something positive, the question tag is usually negative.<br>C. If we say something negative, the question tag is positive.<br>D. If the sentence contains an auxiliary or modal, the same cannot be repeated in the question tag.</p>",Grammar-Question tags,3,NCERT,,English,Remebering,CBSE
20174,"<p>Find the area bounded by the curve&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi>&nbsp;<mo>=</mo>&nbsp;<msqrt><mi>x</mi>&nbsp;</msqrt><mo>,</mo>&nbsp;<mi>x</mi>&nbsp;<mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mi>y</mi>&nbsp;<mo>+</mo>&nbsp;<mn>3</mn>&nbsp;</math>in the first quadrant and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math>-axis.</p>",Application of Integrals,12,NCERT Exemplar,,Mathematics,Understanding,CBSE
100193,<p>Explain the following terms:<br>(a) ore<br>&nbsp;</p>,Metallurgy,10,Selina,,Chemistry,,ICSE
86074,"<p>Find the image of:&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mo>−</mo>&nbsp;<mn>2</mn>&nbsp;<mo>,</mo>&nbsp;<mn>3</mn>&nbsp;<mo>,</mo>&nbsp;<mn>4</mn>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math>in the yz-plane</p>",Introduction to 3D Coordinate Geometry,11,RD Sharma ,,Mathematics,Understanding,CBSE
28574,<ol><li>Draw the diagram of a sarcomere of skeletal muscle showing different regions.</li></ol>,Term 2 - Locomotion and Movement,11,NCERT,,Biology,Remebering,CBSE
74814,"<ol><li>A function&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo>:</mo>&nbsp;<mi>R</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;<mi>R</mi>&nbsp;</math>is defined as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>3</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>4</mn>&nbsp;</math>. Is it a bijection or not? In case it is a bijection, find&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mrow><mi mathvariant=""normal"">f</mi>&nbsp;</mrow><mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup></math>(3).</li></ol>",Functions,12,RD Sharma,,Mathematics,,CBSE
14598,"<p>The standard emf for the cell reaction&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">Z</mi>&nbsp;<mi mathvariant=""normal"">n</mi>&nbsp;</mrow><mo>+</mo>&nbsp;<msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">u</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;<mo>+</mo>&nbsp;</mrow></msup><mo stretchy=""false"">⟶</mo>&nbsp;<msup><mrow><mi mathvariant=""normal"">Z</mi>&nbsp;<mi mathvariant=""normal"">n</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;<mo>+</mo>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">u</mi>&nbsp;</mrow></math>is&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1.10</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">V</mi>&nbsp;</mrow></math>at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>25</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;</mrow></math>. The emf of the cell reaction when&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0.1</mn>&nbsp;</math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">M</mi>&nbsp;</mrow><msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;<mi mathvariant=""normal"">u</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;<mo>+</mo>&nbsp;</mrow></msup></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0.1</mn>&nbsp;<mrow><mi mathvariant=""normal"">M</mi>&nbsp;</mrow><msup><mrow><mi mathvariant=""normal"">Z</mi>&nbsp;<mi mathvariant=""normal"">n</mi>&nbsp;</mrow><mrow><mn>2</mn>&nbsp;<mo>+</mo>&nbsp;</mrow></msup></math>solutions are used at&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>25</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup><mrow><mi mathvariant=""normal"">C</mi>&nbsp;</mrow></math>&nbsp;is :</p>",Electrochemistry,12,XII Chemistry,,,,
11466,"<p>If&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>θ</mi>&nbsp;</math>&nbsp;is the angle (in degrees) of a sector of a circle of radius&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>r</mi>&nbsp;</math>, then area of the sector is</p>",Area Related To Circles,10,Mathematics NCERT,Area Related To Circles,,,
100121,<ol><li>Select the right answer. The aqueous solution of the compound which contains both ions and molecules is:</li></ol>,Electrolysis,10,Selina,,Chemistry,,ICSE
9994,"<p>f&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi>&nbsp;<mo>≤</mo>&nbsp;<mn>2</mn>&nbsp;<msup><mi>sin</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<msup><mi>cos</mi>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>1</mn>&nbsp;</mrow></msup><mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;<mo>≤</mo>&nbsp;<mi>β</mi>&nbsp;</math>, then</p>",Inverse Trigonometric Functions,12,NCERT Exemplar,Inverse Trigonometric Functions,,,
72842,"<p>If&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>,</mo>&nbsp;<mn>4</mn>&nbsp;</math>and 9 are in continued proportion, find&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math>.</p>",Ratio and Proportion (Including Properties and Uses),10,Selina,,Mathematics,,ICSE
8231,"<p>Observe the following pattern and supply the missing numbers.<br />
<br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mtable><mtr><mtd columnalign=""right""><msup><mn>11</mn><mn>2</mn></msup></mtd><mtd columnalign=""left""><mo>=</mo><mn>121</mn></mtd></mtr><mtr><mtd columnalign=""right""><msup><mn>101</mn><mn>2</mn></msup></mtd><mtd columnalign=""left""><mo>=</mo><mn>10201</mn></mtd></mtr><mtr><mtd columnalign=""right""><msup><mn>10101</mn><mn>2</mn></msup></mtd><mtd columnalign=""left""><mo>=</mo><mn>102030201</mn></mtd></mtr><mtr><mtd columnalign=""right""><msup><mn>1010101</mn><mn>2</mn></msup></mtd><mtd columnalign=""left""><mo>=</mo><mi>…</mi><mi>…</mi><mi>…</mi><mi>…</mi><mi>…</mi><mi>…</mi><mi>…</mi><mi>.</mi><mi>.</mi></mtd></mtr><mtr><mtd columnalign=""right""><mi>…</mi><mi>.</mi><mi>.</mi><mi>.</mi><mi>.</mi><mi>.</mi><mi>.</mi><msup><mi>.</mi><mn>2</mn></msup></mtd><mtd columnalign=""left""><mo>=</mo><mn>10203040504030201</mn></mtd></mtr></mtable><annotation encoding=""application/x-tex"">\begin{aligned}11^2 &amp; =121 \\ 101^2 &amp; =10201 \\ 10101^2 &amp; =102030201 \\ 1010101^2 &amp; =\ldots\ldots\ldots\ldots\ldots\ldots\ldots.. \\ \ldots.......^2 &amp; =10203040504030201\end{aligned}</annotation></semantics></math></p>
",Squares and Square Roots,8,Mathematics NCERT , Some More Interesting Patterns,,,
54803,<p>Material required to make house shown below is</p>,Habitats,4,NCERT,,Science,Remebering,CBSE
5884,"<p>Find the LCM and HCF of 6 and 20 by the prime factorisation method.</p>
",Real Numbers,10,Mathematics NCERT ,The Fundamental Theorem of Arithmetic,,,
34921,"<ol><li>If the two circles&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo>−</mo>&nbsp;<mn>1</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>y</mi>&nbsp;<mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<msup><mo stretchy=""false"">)</mo>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>=</mo>&nbsp;<msup><mi>r</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<msup><mi>y</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>−</mo>&nbsp;<mn>8</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<mi>y</mi>&nbsp;<mo>+</mo>&nbsp;<mn>8</mn>&nbsp;<mo>=</mo>&nbsp;<mn>0</mn>&nbsp;</math>intersect in two distinct points, then</li></ol>",Circles,12,Jee mains,,Mathematics,Understanding,JEE Main
30082,"<p>If&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn>&nbsp;<mo>+</mo>&nbsp;<mi>i</mi>&nbsp;<msqrt><mn>3</mn>&nbsp;</msqrt></math>is a root of the equation&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mi>p</mi>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mi>q</mi>&nbsp;<mo>=</mo>&nbsp;<mn>0</mn>&nbsp;</math>, where&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>p</mi>&nbsp;</math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>q</mi>&nbsp;</math>are real, then&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo stretchy=""false"">(</mo>&nbsp;<mi>p</mi>&nbsp;<mo>,</mo>&nbsp;<mi>q</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo></math></p>",complex numbers,12,jee mains,,Mathematics,Understanding,JEE Main
63119,<p>Free peasants were</p>,The Three Orders,11,NCERT,,History,Remebering,CBSE
86312,"<p>Differentiate the following with respect to&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">x</mi>&nbsp;</mrow></math>:<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<mn>2</mn>&nbsp;<msup><mi>x</mi>&nbsp;<mrow><mn>2</mn>&nbsp;</mrow></msup><mo>+</mo>&nbsp;<mn>1</mn>&nbsp;<mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow><mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<mo stretchy=""false"">)</mo></math></p>",Derivatives,11,RD Sharma,,Mathematics,Applying,CBSE
88957,"<p>A point&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi>&nbsp;</math>lies on the&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math>-axis and another point&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>Q</mi>&nbsp;</math>lies on the&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi>&nbsp;</math>-axis. &nbsp;Write the abscissa of point Q.</p>",Distance Formula ,9,Selina,,Mathematics,,ICSE
19686,"<p>Find the angle between the planes whose vector equations are&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mover><mi>r</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>⋅</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>2</mn>&nbsp;<mrow><mover><mi>i</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow><mo>+</mo>&nbsp;<mn>2</mn>&nbsp;<mrow><mover><mi>j</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow><mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mover><mi>k</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow><mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>5</mn>&nbsp;</math>, and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mover><mi>r</mi>&nbsp;<mo stretchy=""false"">→</mo>&nbsp;</mover></mrow><mo>.</mo>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mover><mi>i</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow><mo>−</mo>&nbsp;<mn>3</mn>&nbsp;<mrow><mover><mi>j</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow><mo>+</mo>&nbsp;<mn>5</mn>&nbsp;<mrow><mover><mi>k</mi>&nbsp;<mo stretchy=""false"">^</mo>&nbsp;</mover></mrow><mo stretchy=""false"">)</mo>&nbsp;<mo>=</mo>&nbsp;<mn>3</mn></math></p>",Three dimensional geometry,12,NCERT,,Mathematics,Remebering,CBSE
9420,"<p>A photon of wavelength&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn>&nbsp;<mo>×</mo>&nbsp;<msup><mn>10</mn>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>7</mn>&nbsp;</mrow></msup><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>strikes on metal surface, the work function of the metal being&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2.13</mn>&nbsp;<mrow><mi mathvariant=""normal"">e</mi>&nbsp;<mi mathvariant=""normal"">V</mi>&nbsp;</mrow></math>. Calculate (i) the energy of the photon (eV), (ii) the kinetic energy of the emission, and (iii) the velocity of the photoelectron&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo>&nbsp;<mn>1</mn>&nbsp;<mrow><mi mathvariant=""normal"">e</mi>&nbsp;<mi mathvariant=""normal"">V</mi>&nbsp;</mrow><mo>=</mo>&nbsp;<mn>1.6020</mn>&nbsp;<mo>×</mo>&nbsp;<msup><mn>10</mn>&nbsp;<mrow><mo>−</mo>&nbsp;<mn>19</mn>&nbsp;</mrow></msup><mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">J</mi>&nbsp;</mrow><mo data-mjx-texclass=""CLOSE"">)</mo>&nbsp;</mrow></math></p>",Structure of Atom,11,NCERT,Chemistry,Chemistry,,
1332,"<p>Which is larger between each of these two? Use greater than symbol <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mo stretchy=""true"" form=""prefix"">(</mo><mo>&gt;</mo><mo stretchy=""true"" form=""postfix"">)</mo></mrow><annotation encoding=""application/x-tex"">(&gt;)</annotation></semantics></math> and write<br />
<br />
i<br />
<br />
<math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>4</mn><mo>,</mo><mn>67</mn><mo>,</mo><mn>612</mn><mi>o</mi><mi>r</mi><mn>18</mn><mo>,</mo><mn>71</mn><mo>,</mo><mn>964</mn></mrow><annotation encoding=""application/x-tex"">4,67,612 or 18,71,964</annotation></semantics></math><br />
<br />
in <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>14</mn><mo>,</mo><mn>35</mn><mo>,</mo><mn>10</mn><mo>,</mo><mn>300</mn></mrow><annotation encoding=""application/x-tex"">14,35,10,300</annotation></semantics></math> or <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>14</mn><mo>,</mo><mn>25</mn><mo>,</mo><mn>10</mn><mo>,</mo><mn>300</mn></mrow><annotation encoding=""application/x-tex"">14,25,10,300</annotation></semantics></math></p>
",Knowing Our Numbers,6,T.S. SSC Math,,,,
60978,"<ol><li>Based on lattice energy and other considerations, which one of the following alkali metal chloride is expected to have the highest melting point?</li></ol>", s- block,12,NEET Exam,,Chemistry,Understanding,NEET
8601,"<p>Find the values of <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>x</mi><mo>,</mo><mi>y</mi><mo>,</mo><mi>z</mi></mrow><annotation encoding=""application/x-tex"">x,y,z</annotation></semantics></math> if the matrix, <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mi>A</mi><mo>=</mo><mrow><mo stretchy=""true"" form=""prefix"">[</mo><mtable><mtr><mtd columnalign=""left""><mn>0</mn></mtd><mtd columnalign=""left""><mn>2</mn><mi>y</mi></mtd><mtd columnalign=""left""><mi>z</mi></mtd></mtr><mtr><mtd columnalign=""left""><mi>x</mi></mtd><mtd columnalign=""left""><mi>y</mi></mtd><mtd columnalign=""left""><mo>−</mo><mi>z</mi></mtd></mtr><mtr><mtd columnalign=""left""><mi>x</mi></mtd><mtd columnalign=""left""><mo>−</mo><mi>y</mi></mtd><mtd columnalign=""left""><mi>z</mi></mtd></mtr></mtable><mo stretchy=""true"" form=""postfix"">]</mo></mrow></mrow><annotation encoding=""application/x-tex"">A=[\begin{array}{lll}0 &amp; 2y &amp; z \\ x &amp; y &amp; -z \\ x &amp; -y &amp; z\end{array}]</annotation></semantics></math> satisfy the equation <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><msup><mstyle mathvariant=""normal""><mi>A</mi></mstyle><mi>′</mi></msup><mstyle mathvariant=""normal""><mi>A</mi></mstyle><mo>=</mo><mstyle mathvariant=""normal""><mi>I</mi></mstyle><mi>.</mi></mrow><annotation encoding=""application/x-tex"">\mathrm{A}^{\prime}\mathrm{A}=\mathrm{I}.</annotation></semantics></math></p>
",Matrices,12,NCERT ,,,,
98501,<p>The most convenient reusable wastes are</p>,Waste Generation and Management,9,Selina,,Biology,,ICSE
40864,"<ol><li>A large box has two types of 15 packets, each 1st type packet weighs&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>160</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>and each 2nd type of packet weighs&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>170</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>. The box and the packets together weigh&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">k</mi>&nbsp;<mi mathvariant=""normal"">g</mi>&nbsp;</mrow><mn>500</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">g</mi>&nbsp;</mrow></math>. If the number of packets of 1 st and 2 nd type is 7 and 8 respectively then find the weight of the empty box?</li></ol>",Measurements,5,NCERT,,Mathematics,Understanding,CBSE
93979,<p>A fair coin is tossed four times. What is the probability that atmost three tails occur?</p>,Probability,12,NCERT Exemplar,,Mathematics,Remebering,NDA
97176,"<p>Describe experiment you would perform to demonstrate the following phenomena:<br>The germinating seeds<br>(a) Produce heat,</p>",Respiration In Plants,9,Selina,,Biology,,ICSE
2542,"<p>R = (x,y)x,yW,x^2+y^2-25, then find the domain and the range of <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mi>R</mi><annotation encoding=""application/x-tex"">R</annotation></semantics></math>. Also <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mtable><mtr><mtd columnalign=""left""><mi>w</mi><mi>r</mi><mi>i</mi><mi>t</mi><mi>e</mi><mi>R</mi><mi>i</mi><mi>n</mi><mi>R</mi><mi>o</mi><mi>s</mi><mi>t</mi><mi>e</mi><mi>r</mi><mi>f</mi><mi>o</mi><mi>r</mi><mi>m</mi><mi>.</mi></mtd><mtd columnalign=""left""></mtd></mtr></mtable><annotation encoding=""application/x-tex"">\begin{array}{ll} write R in Roster form.  &amp; \end{array}</annotation></semantics></math></p>
",Relations ,11,Ml,,,,
65413,<p>Which areas of Asia has dense railway network?</p>,Term 2 - Ch08 Transport and Communication,12,NCERT,,Geography,Remebering,CBSE
67052,<p>ports deal in the processing and shipping of oil.</p>,International Trade,12,NCERT,,Geography,Remebering,CBSE
73361,<p>Hepato-pancreatic duct opens into the duodenum and carries:</p>,Digestion and absorption,11,"Entrance Exam (JEE main, NEET)",,Biology,Understanding,NEET
44448,<p>Match the entities in Column I with their characters in Column II with elements present in non-living matter (earth crust):</p>,Biomolecules,11,NEET,,Biology,Understanding,NEET
13370,<p>Which of the following specieshas the highest dipolemoment?</p>,THE p-BLOCK ELEMENTS,12,NCERT Xtract,THE p-BLOCK ELEMENTS,,,
76528,<p>Which of the following collections are sets? J ustify your answer:</p><p>&nbsp;The collection of all talented writers of India.</p>,Sets,11,RD Sharma,,Mathematics,,CBSE
103460,"<p>The sum of values of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi>&nbsp;</math>that represent points of relative optima of function&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;</math>, defined as&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi>&nbsp;<mo stretchy=""false"">(</mo>&nbsp;<mi>x</mi>&nbsp;<mo stretchy=""false"">)</mo>&nbsp;</math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>=</mo>&nbsp;<mn>2</mn>&nbsp;<mi>cos</mi>&nbsp;<mo data-mjx-texclass=""NONE"">⁡</mo>&nbsp;<mi>x</mi>&nbsp;<mo>+</mo>&nbsp;<mi>x</mi>&nbsp;<mo>,</mo>&nbsp;<mn>0</mn>&nbsp;<mo>≤</mo>&nbsp;<mi>x</mi>&nbsp;<mo>≤</mo>&nbsp;<mi>π</mi>&nbsp;</math>, is:</p>",Application of Derivatives,12,jee mains,,Mathematics,Understanding,JEE Main
77844,"<ol><li>Given a circle with centre&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">O</mi>&nbsp;</mrow></math>and radius&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2.5</mn>&nbsp;<mrow><mtext>&nbsp;</mtext><mi mathvariant=""normal"">c</mi>&nbsp;<mi mathvariant=""normal"">m</mi>&nbsp;</mrow></math>, what is the length of the longest chord of the circle. Solution:</li></ol>",Circles,12,RD Sharma,,Mathematics,,CBSE
64639,<p>v. Who composed the poem?</p>,,,,,English,,
23817,"<p>One of the four persons John, Rita, Aslam or Gurpreet will be promoted next month. Consequently the sample space consists of four elementary<br>outcomes&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>S</mi>&nbsp;<mo>=</mo>&nbsp;<mo fence=""false"" stretchy=""false"">{</mo>&nbsp;</math>John promoted, Rita promoted, Aslam promoted, Gurpreet promoted You are told that the chances of John's promotion is same as<br>that of Gurpreet, Rita's chances of promotion are twice as likely as Johns. Aslam's chances are four times that of John.</p><ol><li>Determine P (John promoted)<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi>&nbsp;</math>(Rita promoted)<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi>&nbsp;</math>(Aslam promoted)<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>P</mi>&nbsp;</math>(Gurpreet promoted)<br>ili. If&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi>&nbsp;</math>= {John promoted or Gurpreet promoted}, find P(A).</li></ol>",Probability,11,NCERT Exempler,,Mathematics,Applying,CBSE
77883,<p>(x) Every point on a circle is from its centre.</p>,Circles,6,RD Sharma,,Mathematics,,CBSE
23727,"<ol><li>Given 4 flags of different colours, how many different signals can be generated, if a signal requires the use of 2 flags one below the other?</li></ol>",permutations and combinations,11,ncert,,Mathematics,Understanding,CBSE
48433,<p>State true or false:<br>The diwali is festival of colours. (Article used in this sentence is correct).</p>,Grammar-Articles,3,NCERT,,English,Remebering,CBSE
74009,<p>What do you mean by population growth? Suggest how is it estimated?</p>,India Population,12,NCERT,,Geography,Remebering,CBSE
